Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Tyreek Hill (MIA),2024,WR,MIA,17.0,218.2,12.8,123.0,81.0,,6.0,,292.0,123.0,20.0,5.0
Jakobi Meyers (LV),2024,WR,LV,15.0,218.0,14.5,129.0,87.0,,4.0,,293.0,130.0,16.0,4.0
CeeDee Lamb (DAL),2020,WR,DAL,16.0,217.7,13.6,111.0,74.0,,5.0,,311.0,111.0,13.0,5.0
CeeDee Lamb (DAL),2021,WR,DAL,16.0,217.7,13.6,120.0,79.0,,5.0,,441.0,126.0,15.0,4.0
Jayden Reed (GB),2023,WR,GB,16.0,217.2,13.6,94.0,64.0,,8.0,,355.0,102.0,22.0,6.0
Jarvis Landry (FA),2018,WR,CLE,16.0,217.1,13.6,149.0,81.0,,4.0,,274.0,150.0,21.0,5.0
A.J. Brown (PHI),2019,WR,TEN,16.0,217.1,13.6,84.0,52.0,,8.0,,7.0,94.0,5.0,0.0
Tyrell Williams (FA),2016,WR,DAL,16.0,216.9,13.6,119.0,69.0,,7.0,,183.0,67.0,6.0,2.0
Michael Pittman Jr. (IND),2022,WR,,16.0,216.5,13.5,141.0,99.0,,4.0,,,,,
Garrett Wilson (NYJ),2022,WR,NYJ,17.0,215.7,12.7,147.0,83.0,,4.0,,384.0,147.0,20.0,4.0
Amari Cooper (FA),2018,WR,DAL,15.0,215.5,14.4,107.0,75.0,,7.0,,495.0,126.0,15.0,4.0
Chase Claypool (FA),2020,WR,PIT,16.0,214.9,13.4,109.0,62.0,,9.0,,328.0,119.0,23.0,11.0
Chase Claypool (FA),2021,WR,PIT,15.0,214.9,13.4,105.0,59.0,,9.0,,293.0,112.0,16.0,6.0
Terrelle Pryor Sr. (FA),2016,WR,,16.0,213.4,13.3,140.0,77.0,,4.0,,,,,
Garrett Wilson (NYJ),2023,WR,NYJ,17.0,213.2,12.5,168.0,95.0,,3.0,,327.0,168.0,19.0,2.0
Davante Adams (LAR),2019,WR,GB,12.0,212.7,17.7,127.0,83.0,,5.0,,504.0,151.0,27.0,5.0
Michael Gallup (WAS),2019,WR,DAL,14.0,212.7,15.2,113.0,66.0,,6.0,,333.0,113.0,8.0,1.0
Amari Cooper (FA),2015,WR,LV,16.0,212.7,13.3,130.0,72.0,,6.0,,374.0,130.0,8.0,0.0
Emmanuel Sanders (FA),2016,WR,DEN,16.0,212.6,13.3,137.0,79.0,,5.0,,252.0,137.0,22.0,7.0
Rashee Rice (KC),2023,WR,KC,16.0,212.5,13.3,102.0,79.0,,7.0,,849.0,135.0,29.0,6.0
Jordan Addison (MIN),2024,WR,MIN,15.0,212.5,14.2,99.0,63.0,,9.0,,213.0,108.0,20.0,5.0
Jameson Williams (DET),2024,WR,DEN,15.0,212.2,14.1,91.0,58.0,,7.0,,408.0,72.0,32.0,10.0
