Player,Year,Position,Team,Games Played,Fantasy Points,PPG,Targets,Receptions,Carries,Touchdowns,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
Jimmy Graham (FA),2015,TE,SEA,11.0,120.5,11.0,74.0,48.0,,2.0,,220.0,75.0,10.0,2.0
O.J. Howard (FA),2018,TE,TB,10.0,120.5,12.1,48.0,34.0,,5.0,,209.0,48.0,7.0,2.0
Cole Kmet (CHI),2024,TE,CHI,17.0,120.4,7.1,55.0,47.0,,4.0,,181.0,59.0,12.0,6.0
Hunter Henry (NE),2023,TE,NE,14.0,119.9,8.6,61.0,42.0,,6.0,,78.0,61.0,6.0,1.0
Jordan Reed (FA),2018,TE,WAS,13.0,119.8,9.2,84.0,54.0,,2.0,,231.0,84.0,7.0,1.0
Austin Hooper (NE),2017,TE,ATL,16.0,119.6,7.5,65.0,49.0,,3.0,,265.0,71.0,12.0,4.0
Zach Miller (FA),2016,TE,CHI,10.0,119.6,12.0,64.0,47.0,,4.0,,221.0,64.0,8.0,2.0
Dalton Schultz (HOU),2024,TE,HOU,17.0,118.2,7.0,85.0,53.0,,2.0,,237.0,93.0,8.0,0.0
Gerald Everett (FA),2021,TE,SEA,15.0,117.8,7.9,63.0,48.0,,4.0,,249.0,63.0,8.0,4.0
Charles Clay (FA),2017,TE,BUF,13.0,116.8,9.0,74.0,49.0,,2.0,,273.0,79.0,11.0,3.0
Jordan Akins (FA),2022,TE,HOU,15.0,116.5,7.8,54.0,37.0,,5.0,,270.0,56.0,13.0,3.0
Cade Otton (TB),2023,TE,TB,17.0,116.5,6.9,67.0,47.0,,4.0,,299.0,87.0,15.0,4.0
Dallas Goedert (PHI),2020,TE,PHI,11.0,116.4,10.6,65.0,46.0,,3.0,,202.0,65.0,6.0,2.0
Owen Daniels (FA),2015,TE,DEN,16.0,115.7,7.2,77.0,46.0,,3.0,,281.0,85.0,13.0,2.0
Zach Ertz (WAS),2022,TE,ARI,10.0,115.6,11.6,69.0,47.0,,4.0,,130.0,71.0,17.0,7.0
Martellus Bennett (FA),2015,TE,CHI,11.0,114.9,10.4,80.0,53.0,,3.0,,228.0,80.0,9.0,4.0
Vernon Davis (FA),2016,TE,WAS,16.0,114.3,7.1,59.0,44.0,,2.0,,236.0,59.0,7.0,1.0
Kyle Rudolph (FA),2019,TE,MIN,16.0,113.7,7.1,48.0,39.0,,6.0,,210.0,59.0,14.0,7.0
Chig Okonkwo (TEN),2024,TE,TEN,17.0,113.6,6.7,70.0,52.0,,2.0,,253.0,71.0,6.0,2.0
Dwayne Allen (FA),2016,TE,IND,14.0,113.6,8.1,52.0,35.0,,6.0,,118.0,53.0,10.0,4.0
Austin Hooper (NE),2020,TE,CLE,13.0,113.5,8.7,70.0,46.0,,4.0,,180.0,84.0,14.0,6.0
Chig Okonkwo (TEN),2023,TE,TEN,17.0,113.4,6.7,77.0,54.0,,1.0,,260.0,77.0,6.0,1.0
Noah Gray (KC),2024,TE,KC,17.0,113.3,6.7,49.0,40.0,,5.0,,214.0,53.0,10.0,2.0
Chris Herndon IV (FA),2018,TE,,16.0,113.2,7.1,56.0,39.0,,4.0,,,,,
Darren Waller (MIA),2023,TE,NYG,12.0,113.2,9.4,74.0,52.0,,1.0,,211.0,74.0,4.0,1.0
Robert Tonyan (KC),2022,TE,GB,17.0,112.0,6.6,67.0,53.0,,2.0,,230.0,67.0,9.0,0.0
Jack Doyle (FA),2019,TE,IND,16.0,111.8,7.0,72.0,43.0,,4.0,,216.0,73.0,15.0,5.0
Gerald Everett (FA),2023,TE,LAC,15.0,111.1,7.4,70.0,51.0,,3.0,,275.0,70.0,11.0,3.0
Noah Fant (CIN),2019,TE,DEN,16.0,111.0,6.9,66.0,40.0,,3.0,,330.0,66.0,9.0,4.0
Will Dissly (LAC),2024,TE,LAC,15.0,110.1,7.3,64.0,50.0,,2.0,,317.0,69.0,8.0,1.0
Darren Fells (FA),2019,TE,HOU,16.0,110.1,6.9,48.0,34.0,,7.0,,194.0,60.0,14.0,3.0
Hayden Hurst (FA),2022,TE,CIN,14.0,109.9,7.9,70.0,54.0,,2.0,,246.0,85.0,14.0,4.0
Lance Kendricks (FA),2016,TE,LA,16.0,109.9,6.9,87.0,50.0,,2.0,,276.0,87.0,6.0,2.0
Evan Engram (DEN),2019,TE,NYG,8.0,109.4,13.7,68.0,44.0,,3.0,,252.0,68.0,11.0,3.0
Austin Hooper (NE),2024,TE,NE,17.0,108.6,6.4,59.0,45.0,,3.0,,225.0,59.0,9.0,1.0
Tyler Higbee (LAR),2023,TE,LA,15.0,108.5,7.2,70.0,47.0,,2.0,,246.0,71.0,5.0,1.0
Zach Miller (FA),2015,TE,CHI,15.0,107.9,7.2,46.0,34.0,,5.0,,222.0,46.0,6.0,2.0
Ladarius Green (FA),2015,TE,LAC,13.0,107.9,8.3,63.0,37.0,,4.0,,222.0,65.0,10.0,2.0
David Njoku (CLE),2021,TE,CLE,15.0,107.6,7.2,53.0,36.0,,4.0,,247.0,53.0,9.0,4.0
Mark Andrews (BAL),2018,TE,BAL,16.0,107.2,6.7,50.0,34.0,,3.0,,203.0,57.0,9.0,1.0
Tyler Eifert (FA),2019,TE,CIN,16.0,106.6,6.7,63.0,43.0,,3.0,,112.0,64.0,10.0,4.0
George Kittle (SF),2017,TE,SF,15.0,106.5,7.1,63.0,43.0,,2.0,,265.0,63.0,16.0,1.0
C.J. Uzomah (FA),2018,TE,CIN,16.0,104.9,6.6,64.0,43.0,,3.0,,195.0,64.0,6.0,2.0
