Player,Year,Position,Team,Games Played,Fantasy Points,Fantasy PPG,Targets,Receptions,Carries,TDs,Air Yards,YAC,Routes Run,Red Zone Touches,Goal Line Touches
David Johnson (FA),2018,RB,,16.0,246.6,15.4,76.0,50.0,258.0,10.0,,,,40.0,
Amari Cooper (FA),2019,WR,DAL,16.0,246.5,15.4,119.0,79.0,6.0,8.0,,,,9.0,
Brandin Cooks (NO),2016,WR,NO,16.0,246.3,15.4,117.0,78.0,30.0,8.0,,,,14.0,
Bijan Robinson (ATL),2023,RB,,17.0,246.3,14.5,86.0,58.0,214.0,8.0,,,,33.0,
DeVante Parker (FA),2019,WR,MIA,16.0,246.2,15.4,128.0,72.0,0.0,9.0,,,,16.0,
Keenan Allen (FA),2020,WR,LAC,14.0,245.1,17.5,147.0,100.0,-1.0,8.0,,,,19.0,
Robert Woods (PIT),2021,WR,LA,9.0,245.1,15.3,69.0,45.0,155.0,6.0,,,,19.0,
Robert Woods (PIT),2020,WR,LA,16.0,245.1,15.3,129.0,90.0,155.0,6.0,,,,17.0,
Keenan Allen (FA),2021,WR,LAC,16.0,245.1,17.5,157.0,106.0,-1.0,8.0,,,,26.0,
Jonathan Taylor (IND),2024,RB,,14.0,244.7,17.5,31.0,18.0,303.0,12.0,,,,2.0,
Delanie Walker (FA),2015,TE,TEN,15.0,244.4,16.3,133.0,94.0,nan,6.0,,,,17.0,
Bucky Irving (TB),2024,RB,,17.0,244.4,14.4,52.0,47.0,207.0,8.0,,,,52.0,
Jordan Reed (FA),2015,TE,WAS,14.0,244.2,17.4,114.0,87.0,nan,11.0,,,,26.0,
Saquon Barkley (PHI),2019,RB,,13.0,244.1,18.8,73.0,52.0,217.0,8.0,,,,39.0,
Larry Fitzgerald (FA),2016,WR,ARI,16.0,243.8,15.2,150.0,107.0,5.0,6.0,,,,20.0,
Deebo Samuel Sr. (WAS),2023,WR,,15.0,243.7,16.2,89.0,60.0,225.0,7.0,,,,,
Joe Mixon (HOU),2018,RB,,14.0,243.4,17.4,55.0,43.0,237.0,9.0,,,,40.0,
Brandin Cooks (NO),2018,WR,LA,16.0,243.2,15.2,117.0,80.0,68.0,5.0,,,,22.0,
Jeremy Maclin (FA),2015,WR,KC,15.0,243.2,16.2,124.0,87.0,14.0,8.0,,,,15.0,
Danny Woodhead (FA),2015,RB,,16.0,243.1,15.2,106.0,80.0,98.0,9.0,,,,37.0,
Ja'Marr Chase (CIN),2022,WR,CIN,13.0,242.4,18.6,134.0,87.0,8.0,9.0,,,,31.0,
Jahmyr Gibbs (DET),2023,RB,,15.0,242.1,16.1,71.0,52.0,182.0,11.0,,,,56.0,
Christian Kirk (HOU),2022,WR,JAX,17.0,241.9,14.2,133.0,84.0,11.0,8.0,,,,26.0,
Aaron Jones Sr. (MIN),2024,RB,,17.0,241.6,14.2,62.0,51.0,255.0,7.0,,,,,
Chuba Hubbard (CAR),2024,RB,,15.0,241.6,16.1,54.0,43.0,250.0,11.0,,,,57.0,
Davante Adams (LAR),2024,WR,NYJ,14.0,241.3,17.2,141.0,85.0,0.0,8.0,,,,27.0,
Jerry Jeudy (CLE),2024,WR,CLE,17.0,240.9,14.2,145.0,90.0,0.0,4.0,,,,17.0,
Breece Hall (NYJ),2024,RB,,16.0,240.9,15.1,76.0,57.0,209.0,8.0,,,,35.0,
Ladd McConkey (LAC),2024,WR,LAC,16.0,240.9,15.1,112.0,82.0,0.0,7.0,,,,10.0,
Joe Mixon (HOU),2022,RB,,15.0,240.7,16.0,75.0,60.0,212.0,9.0,,,,63.0,
Joe Mixon (HOU),2024,RB,,14.0,240.5,17.2,52.0,36.0,245.0,12.0,,,,74.0,
Mike Evans (TB),2024,WR,TB,14.0,240.4,17.2,110.0,74.0,0.0,11.0,,,,16.0,
Courtland Sutton (DEN),2024,WR,DEN,17.0,240.3,14.1,135.0,81.0,0.0,8.0,,,,23.0,
Adam Thielen (CAR),2017,WR,MIN,16.0,239.7,15.0,142.0,91.0,11.0,4.0,,,,20.0,
